id,open,high,low,close
271,3362.675,3362.895,3361.265,3361.575
272,3361.535,3362.435,3361.005,3362.425
273,3362.365,3364.015,3362.365,3363.645
274,3363.685,3364.505,3363.015,3364.425
275,3364.385,3365.145,3364.045,3365.125
276,3365.105,3365.475,3364.685,3364.805
277,3364.735,3365.425,3364.425,3364.985
278,3364.975,3366.825,3364.805,3366.775
279,3366.815,3366.835,3364.835,3364.865
280,3364.905,3365.445,3363.755,3363.935
281,3363.955,3365.235,3363.955,3365.235
282,3365.205,3365.945,3363.595,3363.605
283,3363.575,3363.955,3362.175,3363.935
284,3363.985,3364.005,3361.905,3361.995
285,3361.995,3362.205,3361.105,3361.755
286,3361.705,3362.565,3360.945,3362.275
287,3362.215,3362.215,3360.795,3361.175
288,3361.195,3362.195,3360.545,3361.055
289,3361.145,3361.755,3360.285,3360.805
290,3360.825,3361.645,3360.805,3360.835
291,3360.855,3361.215,3359.645,3359.835
292,3359.795,3360.945,3359.795,3360.245
293,3360.275,3360.925,3359.565,3360.375
294,3360.405,3361.455,3360.315,3361.155
295,3360.975,3361.465,3360.675,3360.725
296,3360.855,3361.165,3360.335,3360.415
297,3360.385,3361.285,3360.105,3360.285
298,3360.235,3360.235,3358.775,3358.955
299,3359.085,3359.535,3358.755,3359.345
300,3359.365,3359.635,3358.865,3359.145
301,3359.165,3359.655,3358.135,3358.645
302,3358.715,3361.548,3358.715,3360.535
303,3360.398,3361.425,3359.535,3361.405
304,3361.385,3361.425,3359.845,3360.015
305,3360.025,3360.025,3358.898,3359.315
306,3359.345,3359.345,3357.795,3358.035
307,3358.015,3358.448,3357.348,3358.255
308,3358.255,3358.435,3357.248,3357.248
309,3357.248,3357.648,3357.148,3357.448
310,3357.448,3357.948,3357.055,3357.148
311,3357.065,3359.135,3356.725,3359.135
312,3359.185,3359.725,3359.015,3359.635
313,3359.505,3360.585,3359.475,3360.235
314,3360.275,3360.485,3359.115,3359.445
315,3359.425,3359.735,3359.145,3359.245
316,3359.285,3359.495,3358.105,3358.885
317,3358.865,3359.625,3358.735,3359.475
318,3359.505,3359.835,3358.645,3358.675
319,3358.735,3359.175,3358.295,3359.125
320,3359.065,3359.655,3358.025,3358.345
321,3358.295,3358.295,3356.698,3356.955
322,3356.925,3356.955,3355.798,3355.898
323,3355.898,3356.845,3355.578,3356.785
324,3356.765,3357.415,3356.435,3357.385
325,3357.315,3357.495,3356.865,3357.115
326,3357.255,3357.395,3356.335,3356.445
